Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202000000155;2;40;-1;;2;2;0;2;107;200;3;; -1;1;0;1;80
202000000156;2;113;-1;;2;2;0;1;0;555;1;; -1;2;0;3;90
202000000157;3;76;-1;;2;1;0;1;0;500;1;; -1;1;0;1;-1
202000000158;3;19;-1;;2;2;0;2;(1);(1);3;; -1;2;0;1;-1
202000000159;7;2;-1;M;2;2;0;2;23;100;3;; -1;1;0;1;80
202000000160;3;906;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;70
202000000161;3;30;-1;;-1;2;0;1;5;480;3;; -1;1;0;1;80
202000000162;4;52;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;70
202000000163;3;rd22;0;;2;2;0;1;19;350;2;; -1;1;5;1;50
202000000164;3;77;-1;;1;1;0;1;0;600;2;; -1;1;5;1;30
202000000165;3;52;0;;2;2;0;1;4;500;1;; -1;2;0;1;80
202000000166;2;24;-1;;3;4;0;1;15;550;1;; -1;1;0;1;110
202000000167;3;901;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;80
202000000168;1;Autoroute A30;0;;3;4;0;1;19;500;2;; -1;1;0;3;110
202000000169;1;Autoroute A31;0;;3;4;0;1;327;399;1;; -1;1;0;1;110
202000000170;1;630;0;;1;1;0;2;19;30;3;; -1;2;3;1;50
202000000171;1;10;0;;3;6;0;2;531;599;1;; -1;1;0;1;130
202000000172;1;25;0;;3;4;0;1;19;299;1;; -1;1;0;1;110
202000000173;1;AUTOROUTE A10;0;;3;3;0;1;2;750;1;; -1;1;0;1;90
202000000174;1;86;0;;1;3;0;1;49;500;1;; -1;1;0;1;90
202000000175;1;AUTOROUTE A6;0;;1;3;0;1;16;950;1;; -1;1;0;2;110
202000000176;1;AUTOROUTE A6;0;;1;3;0;2;32;200;1;; -1;1;0;1;110
202000000177;2;12;0;;3;6;0;1;19;299;1;; -1;1;0;1;110
202000000178;2;406;0;W;3;2;0;1;2;799;1;; -1;1;0;1;90
202000000179;1;86;0;INT;-1;2;0;3;41;200;1;; -1;1;0;1;90
202000000180;4;268;0;;3;2;0;1;0;0;1;; -1;1;0;1;50
202000000181;4;ETATS UNIS (DES)                    (BD);0;;1;0;0;1;0;0;1;; -1;1;0;1;50
202000000182;4;;0;;1;1;0;1;0;0;1;; -1;1;6;1;30
202000000183;4;;0;;1;1;0;1;0;1;1;; -1;1;5;1;50
202000000184;3;407;0;;3;4;0;1;3;100;1;; -1;1;0;1;50
202000000185;9;GRIBELETTE (AVENUE DE LA);0;;1;1;0;1;0;0;2;; -1;2;9;8;50
202000000186;4;TRANSVAL (RUE DE);0;;-1;0;0;1;0;1;1;; -1;1;0;8;50
202000000187;4;STALINGRAD    (Boulevard de la Bataille ;0;;1;0;1;1;(1);(1);1;; -1;2;0;1;50
202000000188;4;LAYATS (AVENUE DE);0;;2;1;0;1;0;0;1;; -1;1;0;1;50
202000000189;3;CHANTACO (AVENUE DE );0;;2;2;0;1;3;0;1;; -1;1;0;1;70
202000000190;1;11;0;;1;0;0;1;349;300;1;; -1;1;0;1;90
202000000191;3;952;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000000192;3;DODIN (AVENUE ROGER);0;;1;1;0;1;23;0;3;; -1;1;3;1;50
202000000193;4;CRS DU MEDOC;0;;2;4;2;1;(1);(1);1;; -1;1;5;1;50
202000000194;3;783;0;;1;4;0;1;54;400;2;; -1;1;0;1;70
202000000195;3;313;0;;2;3;0;2;9;140;1;; -1;1;0;1;70
202000000196;4;;0;;1;4;3;1;(1);(1);1;; -1;1;0;1;50
202000000197;3;4;0;A;-1;2;0;2;0;0;1;; -1;2;0;1;50
202000000198;3;D.5;0;;2;2;0;1;0;0;1;; -1;2;0;8;50
202000000199;6;;0;;-1;-1;0;1;0;0;1;; -1;1;0;1;50
202000000200;4;QUINET (RUE EDGARD);0;;2;1;0;1;0;0;1;; -1;1;0;1;30
202000000201;3;41;0;;2;2;0;1;24;100;1;; -1;1;0;1;50
202000000202;4;COLLE CHEMIN DE LA;0;;2;2;0;1;0;0;1;; -1;2;0;1;50
202000000203;4;quai Rouget de l'Isle;0;;2;2;0;1;(1);(1);1;; -1;1;5;1;50
202000000204;4;;0;;1;4;0;1;23;300;1;; -1;1;0;1;70
202000000205;4;;0;;1;4;0;1;25;900;1;; -1;1;0;1;70
202000000206;4;;0;;1;5;0;1;0;100;1;; -1;1;0;1;70
202000000207;4;;0;;-1;4;0;2;0;0;1;; -1;1;0;1;50
202000000208;4;;0;;2;6;0;1;0;0;1;; -1;1;0;1;50
202000000209;4;;0;;2;4;0;1;0;0;1;; -1;1;0;1;50
202000000210;4;;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000211;4;;0;;2;4;0;1;0;0;1;; -1;1;0;1;50
202000000212;4;;0;;1;1;0;1;0;0;1;; -1;1;0;1;50
202000000213;4;;0;;-1;2;0;2;0;0;1;; -1;1;0;1;50
202000000214;4;;0;;-1;1;1;1;0;0;1;; -1;1;-1;5;50
202000000215;4;;0;;2;3;0;1;0;0;3;; -1;1;0;1;50
202000000216;4;;0;;2;4;1;1;0;0;1;; -1;1;-1;5;30
202000000217;3;155;0;;2;5;3;1;(1);(1);1;; -1;1;6;6;30
202000000218;3;127;0;;2;2;0;1;0;1;1;; -1;1;0;1;50
202000000219;4;BEL AIR (R);0;;2;1;0;1;0;0;1;; -1;1;0;1;50
202000000220;3;QUEUE EN BRIE (RTE DE LA);0;;1;1;0;1;(1);(1);2;; -1;1;0;1;50
202000000221;2;19;0;;3;2;0;1;(1);(1);1;; -1;1;0;1;50
202000000222;3;MAXIME GORKI (BOULEVARD) DES N°1 AU 87;0;;2;2;0;1;0;1;1;; -1;1;0;1;50
202000000223;3;970;0;;2;2;0;1;0;1;1;; -1;1;0;1;30
202000000224;4;;0;;1;1;0;1;0;0;1;; -1;1;0;1;50
202000000225;3;7;0;;2;2;1;1;0;0;1;; -1;1;0;5;30
202000000226;3;992;0;;2;4;0;2;0;0;1;; -1;2;0;1;50
202000000227;3;75;0;;1;2;0;1;0;0;1;; -1;1;0;1;30
202000000228;3;920;0;;3;6;1;3;0;0;1;; -1;2;0;1;50
202000000229;3;985;-1;;2;2;0;1;25;300;1;; -1;1;0;1;80
202000000230;3;15;0;;2;2;0;1;25;100;1;; -1;1;8;1;50
202000000231;2;147;0;;2;2;0;1;6;0;1;; -1;1;0;1;80
202000000232;2;171;-1;;3;2;0;1;84;0;1;; -1;1;0;1;90
202000000233;3;15;0;;2;2;0;2;11;100;1;; -1;1;0;1;80
202000000234;3;37;0;;3;2;0;1;4;500;1;; -1;1;0;1;50
202000000235;3;1;-1;;2;2;0;1;17;500;1;; -1;1;0;1;80
202000000236;3;922;-1;;3;2;0;3;45;200;1;; -1;1;0;1;80
202000000237;3;215;0;D;2;2;0;2;8;0;1;; -1;8;0;1;50
202000000238;3;48;0;;2;2;0;2;1;500;2;; -1;2;0;1;90
202000000239;3;33;0;;2;2;0;2;2;230;3;; -1;2;0;3;80
202000000240;3;774;-1;;2;2;0;1;16;800;1;; -1;1;0;1;80
202000000241;3;49;-1;;2;1;0;2;14;890;1;; -1;1;0;1;80
202000000242;3;920;-1;;2;2;0;2;0;250;2;; -1;1;0;1;50
202000000243;4;Avenue du Truc Vert;0;;2;2;2;1;(1);(1);2;; -1;2;0;5;50
202000000244;3;955;-1;;2;2;0;1;46;816;2;; -1;1;0;1;50
202000000245;3;710;-1;;2;2;0;1;3;800;3;; -1;1;0;8;50
202000000246;3;38;-1;;2;2;0;3;22;(1);3;; -1;2;0;1;80
202000000247;3;15;-1;;2;2;0;1;36;370;2;; -1;1;0;3;90
202000000248;3;909;0;;2;2;0;1;44;0;1;; -1;1;0;3;90
202000000249;3;145;-1;;2;2;0;1;5;950;1;; -1;1;0;1;-1
202000000250;3;43;-1;;2;2;0;2;2;5;3;; -1;2;0;3;80
202000000251;3;3;-1;;2;2;0;1;51;800;1;; -1;1;0;1;50
202000000252;3;908;-1;;2;2;0;1;27;600;3;; -1;2;9;3;90
202000000253;3;72;-1;;2;1;0;1;4;600;1;; -1;2;0;1;50
202000000254;3;21;0;;2;2;0;1;19;700;1;; -1;1;0;8;50
202000000255;3;44;-1;;2;2;0;1;30;800;1;; -1;1;5;1;50
202000000256;3;85;0;;2;2;0;2;3;900;1;; -1;1;0;1;50
202000000257;3;28;0;D;2;2;0;1;4;100;4;; -1;1;0;1;80
202000000258;3;D960;-1;;2;2;0;1;19;400;2;; -1;1;0;3;80
202000000259;3;3;0;;2;2;0;2;3;966;1;; -1;1;0;3;80
202000000260;2;4;0;N;3;4;0;2;7;400;1;; -1;1;2;3;110
202000000261;3;603;-1;;2;2;0;1;19;500;1;; -1;1;5;1;80
202000000262;3;906;0;;2;2;0;1;16;400;1;; -1;2;0;1;90
202000000263;4;5;-1;;2;2;0;1;(1);(1);4;; -1;1;0;3;80
202000000264;3;20;0;;2;2;0;1;5;950;1;; -1;1;0;1;80
202000000265;4;;-1;;1;1;0;2;(1);(1);1;; -1;1;0;1;50
202000000266;3;D675;-1;;2;2;0;1;31;875;1;; -1;1;0;1;50
202000000267;4;3;0;;2;2;0;2;0;350;2;; -1;1;0;1;80
202000000268;4;16;-1;C;2;2;0;2;(1);(1);2;; -1;1;9;3;80
202000000269;1;87;0;A;3;4;3;1;32;150;1;; -1;1;0;3;110
202000000270;1;89;-1;;1;4;0;1;534;700;2;; -1;2;0;1;110
202000000271;2;4;0;;2;2;0;3;3;500;3;; -1;1;0;1;80
202000000272;3;732;-1;;2;2;0;1;19;800;1;; -1;1;0;1;80
202000000273;3;1091;0;;2;2;0;1;42;800;3;; -1;1;0;3;80
202000000274;4;;-1;;2;2;0;2;(1);(1);1;; -1;1;0;1;50
202000000275;4;1;0;V;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000276;2;5;-1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000000277;4;;-1;;2;2;0;1;(1);(1);1;; -1;1;0;8;50
202000000278;4;2;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;80
202000000279;3;43;-1;;2;2;0;1;0;770;1;; -1;1;0;1;80
202000000280;3;98;0;A;1;1;0;1;58;600;1;; -1;1;0;1;70
202000000281;3;570;-1;D;2;2;0;1;14;5;1;; -1;1;5;1;80
202000000282;3;38;0;D;2;2;0;1;12;300;1;; -1;1;0;1;70
202000000283;4;;-1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000000284;3;953;0;;2;2;0;1;10;2;1;; -1;1;9;1;50
202000000285;3;101;-1;;2;1;0;1;64;525;1;; -1;1;0;4;50
202000000286;3;519;0;;2;2;0;1;6;700;1;; -1;1;0;3;80
202000000287;3;149;0;;2;2;0;1;(1);(1);1;; -1;2;0;1;50
202000000288;3;16;0;E;2;2;3;1;(1);(1);1;; -1;2;4;6;30
202000000289;3;15;0;;2;2;0;1;21;16;1;; -1;1;0;1;80
202000000290;4;206;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000291;3;974;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000000292;3;60;-1;;2;2;0;1;4;200;1;; -1;1;9;1;50
202000000293;3;764;0;;2;2;0;1;53;900;1;; -1;1;0;3;80
202000000294;3;57;0;;2;2;0;1;9;350;2;; -1;9;0;3;50
202000000295;3;121;0;;2;2;0;1;7;800;1;; -1;1;0;1;50
202000000296;3;935;-1;;2;2;0;1;(1);(1);1;; -1;1;0;4;50
202000000297;4;;-1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000000298;1;507;0;;1;3;0;3;5;0;1;; -1;2;0;1;50
202000000299;1;A47;0;;3;4;0;1;24;200;1;; -1;2;0;1;90
202000000300;3;RD 444;0;;2;2;0;2;1;628;3;; -1;1;0;3;70
202000000301;4;PAYS-BAS (AVENUE DES);0;;3;2;2;1;(1);(1);1;; -1;1;0;5;50
202000000302;2;N89;0;;3;4;0;1;48;680;1;; -1;1;0;1;90
202000000303;4;Avenue du Bourgailh;0;;2;7;2;1;(1);(1);1;; -1;1;5;1;50
202000000304;6;VOIE PARKING;0;;-1;0;0;1;(1);(1);1;; -1;1;0;8;20
202000000305;3;113;0;;2;3;0;1;4;750;1;; -1;1;0;1;50
202000000306;4;CURIE PIERRE (RUE);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000307;4;SAINT THIBAULT (RUE);0;;1;1;0;1;0;0;1;; -1;1;0;1;50
202000000308;3;PLANCHAT (PLACE);0;;2;2;3;1;1;0;1;; -1;1;9;6;30
202000000309;4;STADE   RUE DU;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000310;4;SARTRE   AVENUE JEAN-PAUL;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000311;3;368;0;;2;2;0;2;6;800;1;; -1;1;0;1;30
202000000312;4;;0;;2;2;0;1;1;0;1;; -1;1;0;1;50
202000000313;4;VALBARELLE (CHEMIN DE LA);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000314;7;;0;;2;1;0;1;0;0;1;;3,5;1;0;1;50
202000000315;4;HUGO (QUAI ET PASSERELLE VICTOR);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000316;3;RD 6113;0;;2;2;0;1;0;0;2;; -1;1;0;1;80
202000000317;4;;0;;1;1;0;2;0;100;3;; -1;1;0;1;70
202000000318;4;;0;;2;4;0;4;0;0;1;; -1;1;0;1;50
202000000319;4;;0;;2;2;0;2;0;0;1;; -1;1;0;1;30
202000000320;4;;0;;3;4;0;1;0;0;1;; -1;1;0;1;50
202000000321;4;;0;;-1;4;0;2;(1);0;1;; -1;1;0;1;50
202000000322;4;;0;;2;4;0;1;0;0;1;; -1;1;0;1;50
202000000323;4;;0;;2;3;3;1;0;0;1;; -1;1;-1;6;50
202000000324;4;;0;;1;2;0;1;0;0;1;; -1;1;0;1;50
202000000325;4;;0;;-1;3;1;1;0;0;1;; -1;1;-1;5;50
202000000326;4;;0;;3;2;0;1;0;0;1;; -1;1;0;1;50
202000000327;4;;0;;2;4;0;1;0;0;1;; -1;1;0;1;50
202000000328;4;;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000329;4;;0;;1;5;0;1;0;0;1;; -1;1;0;1;50
